,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.149938710105,0.0255086157203
1,ACCESS1-0,3.8,0.254711614858,
2,CanESM2,3.7,0.212879724625,
3,CCSM4,2.9,0.213865519388,
4,CNRM-CM5,3.3,0.177769013916,
5,CSIRO-Mk3-6-0,4.1,0.249517327593,
6,GFDL-ESM2M,2.4,0.16710904855,
7,HadGEM2-ES,4.6,0.382587763113,
8,inmcm4,2.1,0.072133557175,
9,IPSL-CM5B-LR,2.6,0.174397792639,
10,MIROC-ESM,4.7,0.266322133713,
11,MPI-ESM-LR,3.6,0.17166369222,
12,MRI-CGCM3,2.6,0.0963119585411,
13,NorESM1-M,2.8,0.162613790736,
14,bcc-csm1-1,2.8,0.242505232531,
15,GISS-E2-R,2.1,0.134021787894,
16,BNU-ESM,4.1,0.166070655959,
17,bcc-csm1-1-m,2.9,0.167640853458,
18,GISS-E2-H,2.3,0.123872302947,
19,GFDL-ESM2G,2.4,0.247549769493,
20,IPSL-CM5A-LR,4.1,0.245970558408,
21,MIROC5,2.7,0.263651530541,
22,GFDL-CM3,4.0,0.462408582127,
